Frequency (Hz)	Level (dB)
754.882812	-73.797752
755.859375	-74.061111
756.835938	-75.295975
757.812500	-74.526222
758.789062	-74.578941
759.765625	-75.127960
760.742188	-75.052559
761.718750	-75.932770
762.695312	-75.669312
763.671875	-76.673256
764.648438	-77.045456
765.625000	-76.691505
766.601562	-76.296570
767.578125	-77.036446
768.554688	-76.669052
769.531250	-76.827827
770.507812	-77.393417
771.484375	-77.466278
772.460938	-77.536621
773.437500	-77.651680
774.414062	-77.781883
775.390625	-78.263664
776.367188	-77.466400
777.343750	-78.653770
778.320312	-77.453804
779.296875	-77.695915
780.273438	-78.686241
781.250000	-78.726662
782.226562	-78.577957
783.203125	-79.017166
784.179688	-78.058823
785.156250	-78.279449
786.132812	-78.122772
787.109375	-78.618881
788.085938	-78.357391
789.062500	-78.760559
790.039062	-79.231018
791.015625	-78.856506
791.992188	-78.485352
792.968750	-78.636009
793.945312	-78.850151
794.921875	-79.155869
795.898438	-79.283691
796.875000	-79.541290
797.851562	-78.470154
798.828125	-79.151985
799.804688	-79.338470
800.781250	-79.056641
801.757812	-79.617958
802.734375	-79.463326
803.710938	-78.818764
804.687500	-79.032234
805.664062	-78.432457
806.640625	-78.742065
807.617188	-78.178284
808.593750	-78.883003
809.570312	-78.305679
810.546875	-78.833282
811.523438	-79.450951
812.500000	-78.557838
813.476562	-78.121140
814.453125	-78.232399
815.429688	-78.649963
816.406250	-77.902534
817.382812	-78.343689
818.359375	-78.801056
819.335938	-78.103287
820.312500	-78.950447
821.289062	-77.498749
822.265625	-77.622276
823.242188	-78.417336
824.218750	-78.067024
825.195312	-78.541145
826.171875	-77.112419
827.148438	-76.251335
828.125000	-77.139282
829.101562	-77.247330
830.078125	-77.384613
831.054688	-76.640587
832.031250	-77.052376
833.007812	-76.106781
833.984375	-76.816940
834.960938	-76.934479
835.937500	-76.293816
836.914062	-76.662888
837.890625	-76.390732
838.867188	-76.116478
839.843750	-75.504547
840.820312	-76.150894
841.796875	-76.001091
842.773438	-76.002327
843.750000	-74.887527
844.726562	-74.621834
845.703125	-74.581627
846.679688	-74.584457
847.656250	-74.254242
848.632812	-73.132027
849.609375	-73.413483
850.585938	-74.288414
851.562500	-74.113594
852.539062	-73.511040
853.515625	-72.780869
854.492188	-71.677483
855.468750	-71.999252
856.445312	-71.512924
857.421875	-70.642036
858.398438	-70.162193
859.375000	-70.540421
860.351562	-69.753014
861.328125	-68.925667
862.304688	-68.356155
863.281250	-67.727272
864.257812	-67.044701
865.234375	-66.631363
866.210938	-64.695457
867.187500	-65.482224
868.164062	-65.967232
869.140625	-64.310631
870.117188	-63.819061
871.093750	-63.623310
872.070312	-63.128151
873.046875	-62.674500
874.023438	-63.562084
875.000000	-62.515003
875.976562	-62.129490
876.953125	-62.997208
877.929688	-63.558609
878.906250	-64.152016
879.882812	-65.037170
880.859375	-65.067101
881.835938	-65.318100
882.812500	-66.036079
883.789062	-65.977135
884.765625	-66.454491
885.742188	-67.595619
886.718750	-68.024315
887.695312	-68.109108
888.671875	-68.968521
889.648438	-69.276535
890.625000	-70.134262
891.601562	-70.686470
892.578125	-71.603920
893.554688	-72.011833
894.531250	-71.738205
895.507812	-72.869980
896.484375	-72.654335
897.460938	-72.794334
898.437500	-73.647278
899.414062	-73.268211
900.390625	-73.859467
901.367188	-73.702644
902.343750	-74.215271
903.320312	-74.685074
904.296875	-74.950188
905.273438	-74.358986
906.250000	-75.194565
907.226562	-75.012619
908.203125	-75.466194
909.179688	-75.508743
910.156250	-75.070953
911.132812	-75.780243
912.109375	-75.248192
913.085938	-75.603310
914.062500	-76.496239
915.039062	-76.598206
916.015625	-76.710823
916.992188	-76.640106
917.968750	-77.080681
